,land,date,driving,walking,transit
31261,Berlin,2020-02-15,116.22,167.42,128.95
31262,Berlin,2020-02-16,98.32,106.55,105.08
31263,Berlin,2020-02-17,107.4,118.9,115.42
31264,Berlin,2020-02-18,108.75,118.43,113.66
31265,Berlin,2020-02-19,111.06,118.34,116.4
31266,Berlin,2020-02-20,113.46,129.47,120.85
31267,Berlin,2020-02-21,119.89,155.62,133.78
31268,Berlin,2020-02-22,115.21,169.47,136.3
31269,Berlin,2020-02-23,98.39,106.02,111.76
31270,Berlin,2020-02-24,108.68,126.17,117.28
31271,Berlin,2020-02-25,110.96,128.0,118.81
31272,Berlin,2020-02-26,107.15,111.35,112.76
31273,Berlin,2020-02-27,110.79,126.36,120.1
31274,Berlin,2020-02-28,116.54,147.36,128.94
31275,Berlin,2020-02-29,110.85,157.32,130.05
31276,Berlin,2020-03-01,97.64,105.68,108.14
31277,Berlin,2020-03-02,100.72,106.79,104.79
31278,Berlin,2020-03-03,104.31,100.12,100.77
31279,Berlin,2020-03-04,99.51,98.94,99.0
31280,Berlin,2020-03-05,103.42,107.85,101.77
31281,Berlin,2020-03-06,110.47,122.55,112.71
31282,Berlin,2020-03-07,106.0,137.77,118.9
31283,Berlin,2020-03-08,94.93,99.11,96.27
31284,Berlin,2020-03-09,97.52,97.33,94.35
31285,Berlin,2020-03-10,96.65,86.73,90.74
31286,Berlin,2020-03-11,94.53,96.43,87.2
31287,Berlin,2020-03-12,89.6,85.72,80.36
31288,Berlin,2020-03-13,83.87,83.72,72.41
31289,Berlin,2020-03-14,75.05,89.4,66.06
31290,Berlin,2020-03-15,64.53,60.87,49.47
31291,Berlin,2020-03-16,70.44,60.39,47.0
31292,Berlin,2020-03-17,64.33,51.35,40.55
31293,Berlin,2020-03-18,61.48,49.84,37.04
31294,Berlin,2020-03-19,54.14,38.72,29.56
31295,Berlin,2020-03-20,47.77,33.53,24.92
31296,Berlin,2020-03-21,39.78,33.29,21.68
31297,Berlin,2020-03-22,39.65,33.19,21.06
31298,Berlin,2020-03-23,42.73,31.1,21.72
31299,Berlin,2020-03-24,43.27,32.98,21.28
31300,Berlin,2020-03-25,43.73,31.89,21.65
31301,Berlin,2020-03-26,45.51,35.8,21.35
31302,Berlin,2020-03-27,46.58,38.27,21.89
31303,Berlin,2020-03-28,43.64,43.8,20.87
31304,Berlin,2020-03-29,35.17,21.18,19.33
31305,Berlin,2020-03-30,44.38,27.02,22.03
31306,Berlin,2020-03-31,47.67,31.74,24.39
31307,Berlin,2020-04-01,48.71,34.7,22.88
31308,Berlin,2020-04-02,49.06,34.15,23.02
31309,Berlin,2020-04-03,46.72,33.84,21.69
31310,Berlin,2020-04-04,43.35,42.15,21.73
31311,Berlin,2020-04-05,50.19,50.01,23.86
31312,Berlin,2020-04-06,56.9,46.89,27.69
31313,Berlin,2020-04-07,58.36,47.76,27.25
31314,Berlin,2020-04-08,59.2,48.57,26.52
31315,Berlin,2020-04-09,54.24,43.16,25.09
31316,Berlin,2020-04-10,45.64,47.78,24.77
31317,Berlin,2020-04-11,46.55,44.67,22.44
31318,Berlin,2020-04-12,45.58,52.02,22.81
31319,Berlin,2020-04-13,45.94,34.1,23.55
31320,Berlin,2020-04-14,57.87,39.0,28.44
31321,Berlin,2020-04-15,59.18,42.74,28.85
31322,Berlin,2020-04-16,62.32,48.81,30.67
31323,Berlin,2020-04-17,59.52,48.22,28.88
31324,Berlin,2020-04-18,54.9,54.9,28.23
31325,Berlin,2020-04-19,57.02,51.28,29.19
31326,Berlin,2020-04-20,63.24,46.46,32.29
31327,Berlin,2020-04-21,66.42,47.87,30.87
31328,Berlin,2020-04-22,68.16,51.26,32.97
31329,Berlin,2020-04-23,70.84,54.12,33.58
31330,Berlin,2020-04-24,64.87,49.04,31.23
31331,Berlin,2020-04-25,56.7,48.86,29.66
31332,Berlin,2020-04-26,61.7,53.03,31.62
31333,Berlin,2020-04-27,71.57,53.29,34.74
31334,Berlin,2020-04-28,70.4,50.52,33.3
31335,Berlin,2020-04-29,68.64,43.57,32.49
31336,Berlin,2020-04-30,68.5,44.65,32.82
31337,Berlin,2020-05-01,58.36,50.61,33.42
31338,Berlin,2020-05-02,56.94,42.61,32.48
31339,Berlin,2020-05-03,63.03,50.12,35.49
31340,Berlin,2020-05-04,72.07,46.65,39.31
31341,Berlin,2020-05-05,73.32,47.84,38.98
31342,Berlin,2020-05-06,76.81,56.1,39.99
31343,Berlin,2020-05-07,76.73,54.65,40.31
31344,Berlin,2020-05-08,73.87,64.85,41.59
31345,Berlin,2020-05-09,74.45,70.92,42.68
31346,Berlin,2020-05-10,74.77,50.67,38.82
31347,Berlin,2020-05-13,80.57,53.7,44.67
31348,Berlin,2020-05-14,86.61,55.6,46.09
31349,Berlin,2020-05-15,87.58,61.89,47.54
31350,Berlin,2020-05-16,76.65,61.48,45.87
31351,Berlin,2020-05-17,79.23,60.95,45.32
31352,Berlin,2020-05-18,87.3,58.2,49.41
