dates,region,driving,walking,transit,date
2020-01-24,Hamburg,110.4,132.63,119.21,2020-01-24
2020-01-25,Hamburg,103.01,152.2,123.21,2020-01-25
2020-01-26,Hamburg,94.53,88.5,95.96,2020-01-26
2020-01-27,Hamburg,104.2,102.87,102.75,2020-01-27
2020-01-28,Hamburg,106.66,99.94,99.94,2020-01-28
2020-01-29,Hamburg,105.68,96.06,104.18,2020-01-29
2020-01-30,Hamburg,108.51,116.09,106.75,2020-01-30
2020-01-31,Hamburg,117.2,143.87,121.72,2020-01-31
2020-02-01,Hamburg,109.19,164.82,127.12,2020-02-01
2020-02-02,Hamburg,98.79,104.42,112.62,2020-02-02
2020-02-03,Hamburg,106.75,114.95,110.42,2020-02-03
2020-02-04,Hamburg,111.38,118.46,113.6,2020-02-04
2020-02-05,Hamburg,108.54,121.83,106.88,2020-02-05
2020-02-06,Hamburg,108.81,125.23,114.57,2020-02-06
2020-02-07,Hamburg,123.95,153.49,140.28,2020-02-07
2020-02-08,Hamburg,116.47,185.16,143.71,2020-02-08
2020-02-09,Hamburg,97.88,86.0,105.39,2020-02-09
2020-02-10,Hamburg,110.39,107.05,111.87,2020-02-10
2020-02-11,Hamburg,110.77,110.74,111.76,2020-02-11
2020-02-12,Hamburg,109.29,115.61,121.56,2020-02-12
2020-02-13,Hamburg,115.73,124.07,119.71,2020-02-13
2020-02-14,Hamburg,126.69,173.94,141.47,2020-02-14
2020-02-15,Hamburg,120.24,191.25,145.19,2020-02-15
2020-02-16,Hamburg,105.16,104.0,134.81,2020-02-16
2020-02-17,Hamburg,107.04,120.57,234.4,2020-02-17
2020-02-18,Hamburg,114.22,137.39,207.17,2020-02-18
2020-02-19,Hamburg,116.87,112.72,179.93,2020-02-19
2020-02-20,Hamburg,113.89,123.62,190.07,2020-02-20
2020-02-21,Hamburg,133.02,164.38,227.14,2020-02-21
2020-02-22,Hamburg,116.1,175.17,239.76,2020-02-22
2020-02-23,Hamburg,101.73,110.98,192.35,2020-02-23
2020-02-24,Hamburg,110.58,107.45,178.97,2020-02-24
2020-02-25,Hamburg,109.93,110.79,169.49,2020-02-25
2020-02-26,Hamburg,113.21,119.68,183.47,2020-02-26
2020-02-27,Hamburg,119.71,127.15,180.4,2020-02-27
2020-02-28,Hamburg,124.87,148.92,205.52,2020-02-28
2020-02-29,Hamburg,111.36,168.15,216.37,2020-02-29
2020-03-01,Hamburg,106.56,101.3,172.57,2020-03-01
2020-03-02,Hamburg,105.52,110.62,156.53,2020-03-02
2020-03-03,Hamburg,105.4,108.51,155.83,2020-03-03
2020-03-04,Hamburg,107.32,110.96,163.87,2020-03-04
2020-03-05,Hamburg,114.09,116.48,169.39,2020-03-05
2020-03-06,Hamburg,114.42,128.96,192.26,2020-03-06
2020-03-07,Hamburg,115.84,171.72,226.2,2020-03-07
2020-03-08,Hamburg,103.17,97.45,172.18,2020-03-08
2020-03-09,Hamburg,101.88,103.36,159.36,2020-03-09
2020-03-10,Hamburg,103.55,95.87,157.3,2020-03-10
2020-03-11,Hamburg,100.68,112.28,150.06,2020-03-11
2020-03-12,Hamburg,91.76,93.3,131.93,2020-03-12
2020-03-13,Hamburg,86.08,93.18,121.82,2020-03-13
2020-03-14,Hamburg,79.03,106.01,122.11,2020-03-14
2020-03-15,Hamburg,66.51,69.48,88.97,2020-03-15
2020-03-16,Hamburg,70.89,68.34,73.19,2020-03-16
2020-03-17,Hamburg,62.26,57.31,58.81,2020-03-17
2020-03-18,Hamburg,56.59,47.66,50.64,2020-03-18
2020-03-19,Hamburg,52.67,44.86,45.38,2020-03-19
2020-03-20,Hamburg,49.75,43.49,45.85,2020-03-20
2020-03-21,Hamburg,40.64,40.28,37.23,2020-03-21
2020-03-22,Hamburg,41.37,43.34,40.51,2020-03-22
2020-03-23,Hamburg,47.15,41.51,42.5,2020-03-23
2020-03-24,Hamburg,47.03,41.51,39.71,2020-03-24
2020-03-25,Hamburg,48.63,44.35,41.83,2020-03-25
2020-03-26,Hamburg,50.29,47.45,43.85,2020-03-26
2020-03-27,Hamburg,51.47,49.03,43.61,2020-03-27
2020-03-28,Hamburg,48.01,56.71,42.22,2020-03-28
2020-03-29,Hamburg,42.37,33.62,39.58,2020-03-29
2020-03-30,Hamburg,50.05,37.53,44.29,2020-03-30
2020-03-31,Hamburg,53.75,45.85,45.83,2020-03-31
2020-04-01,Hamburg,53.29,43.1,44.97,2020-04-01
2020-04-02,Hamburg,53.27,45.86,44.46,2020-04-02
2020-04-03,Hamburg,52.09,43.77,43.36,2020-04-03
2020-04-04,Hamburg,47.42,54.89,44.9,2020-04-04
2020-04-05,Hamburg,55.9,73.03,50.18,2020-04-05
2020-04-06,Hamburg,61.41,67.45,52.55,2020-04-06
2020-04-07,Hamburg,60.09,62.82,55.71,2020-04-07
2020-04-08,Hamburg,62.27,62.95,54.75,2020-04-08
2020-04-09,Hamburg,57.43,56.92,53.17,2020-04-09
2020-04-10,Hamburg,48.28,60.38,53.5,2020-04-10
2020-04-11,Hamburg,49.97,60.92,47.78,2020-04-11
2020-04-12,Hamburg,46.62,68.72,50.44,2020-04-12
2020-04-13,Hamburg,52.51,51.19,55.96,2020-04-13
2020-04-14,Hamburg,60.81,49.98,58.73,2020-04-14
2020-04-15,Hamburg,63.34,59.17,62.11,2020-04-15
2020-04-16,Hamburg,64.77,61.65,56.9,2020-04-16
2020-04-17,Hamburg,63.86,65.19,58.81,2020-04-17
2020-04-18,Hamburg,59.42,71.59,60.48,2020-04-18
2020-04-19,Hamburg,64.12,71.78,66.79,2020-04-19
2020-04-20,Hamburg,70.33,63.97,63.69,2020-04-20
2020-04-21,Hamburg,70.75,64.9,65.28,2020-04-21
2020-04-22,Hamburg,71.83,66.7,60.86,2020-04-22
2020-04-23,Hamburg,73.16,71.53,65.16,2020-04-23
2020-04-24,Hamburg,67.72,65.29,60.88,2020-04-24
2020-04-25,Hamburg,59.68,69.39,58.61,2020-04-25
2020-04-26,Hamburg,63.35,66.22,65.45,2020-04-26
2020-04-27,Hamburg,72.25,68.74,66.83,2020-04-27
2020-04-28,Hamburg,70.55,60.6,64.28,2020-04-28
2020-04-29,Hamburg,70.34,54.44,62.2,2020-04-29
2020-04-30,Hamburg,70.69,56.39,59.72,2020-04-30
2020-05-01,Hamburg,57.18,51.57,57.94,2020-05-01
2020-05-02,Hamburg,62.9,59.53,58.9,2020-05-02
2020-05-03,Hamburg,68.07,64.49,68.68,2020-05-03
2020-05-04,Hamburg,78.93,70.21,75.16,2020-05-04
2020-05-05,Hamburg,83.0,72.49,82.13,2020-05-05
2020-05-06,Hamburg,80.84,75.53,83.27,2020-05-06
2020-05-07,Hamburg,80.72,73.86,77.38,2020-05-07
2020-05-08,Hamburg,85.42,83.04,81.1,2020-05-08
2020-05-09,Hamburg,85.83,92.76,77.12,2020-05-09
2020-05-10,Hamburg,80.04,69.39,78.4,2020-05-10
2020-05-11,Hamburg,,,,2020-05-11
2020-05-12,Hamburg,,,,2020-05-12
2020-05-13,Hamburg,85.68,67.85,81.01,2020-05-13
2020-05-14,Hamburg,89.93,76.07,83.1,2020-05-14
2020-01-13,Baden-Wuerttemberg,100.0,,,2020-01-13
2020-01-14,Baden-Wuerttemberg,100.97,,,2020-01-14
2020-01-15,Baden-Wuerttemberg,104.24,,,2020-01-15
2020-01-16,Baden-Wuerttemberg,107.7,,,2020-01-16
2020-01-17,Baden-Wuerttemberg,115.16,,,2020-01-17
2020-01-18,Baden-Wuerttemberg,111.46,,,2020-01-18
2020-01-19,Baden-Wuerttemberg,105.96,,,2020-01-19
2020-01-20,Baden-Wuerttemberg,101.23,,,2020-01-20
2020-01-21,Baden-Wuerttemberg,102.08,,,2020-01-21
2020-01-22,Baden-Wuerttemberg,103.52,,,2020-01-22
2020-01-23,Baden-Wuerttemberg,104.83,,,2020-01-23
2020-01-24,Baden-Wuerttemberg,118.76,,,2020-01-24
2020-01-25,Baden-Wuerttemberg,112.39,,,2020-01-25
2020-01-26,Baden-Wuerttemberg,104.92,,,2020-01-26
2020-01-27,Baden-Wuerttemberg,101.4,,,2020-01-27
2020-01-28,Baden-Wuerttemberg,107.6,,,2020-01-28
2020-01-29,Baden-Wuerttemberg,106.94,,,2020-01-29
2020-01-30,Baden-Wuerttemberg,111.88,,,2020-01-30
2020-01-31,Baden-Wuerttemberg,119.41,,,2020-01-31
2020-02-01,Baden-Wuerttemberg,114.68,,,2020-02-01
2020-02-02,Baden-Wuerttemberg,108.76,,,2020-02-02
2020-02-03,Baden-Wuerttemberg,106.5,,,2020-02-03
2020-02-04,Baden-Wuerttemberg,109.01,,,2020-02-04
2020-02-05,Baden-Wuerttemberg,112.19,,,2020-02-05
2020-02-06,Baden-Wuerttemberg,114.25,,,2020-02-06
2020-02-07,Baden-Wuerttemberg,122.18,,,2020-02-07
2020-02-08,Baden-Wuerttemberg,120.42,,,2020-02-08
2020-02-09,Baden-Wuerttemberg,117.91,,,2020-02-09
2020-02-10,Baden-Wuerttemberg,109.68,,,2020-02-10
2020-02-11,Baden-Wuerttemberg,111.83,,,2020-02-11
2020-02-12,Baden-Wuerttemberg,115.65,,,2020-02-12
2020-02-13,Baden-Wuerttemberg,114.32,,,2020-02-13
2020-02-14,Baden-Wuerttemberg,139.32,,,2020-02-14
2020-02-15,Baden-Wuerttemberg,138.27,,,2020-02-15
2020-02-16,Baden-Wuerttemberg,118.33,,,2020-02-16
2020-02-17,Baden-Wuerttemberg,112.12,,,2020-02-17
2020-02-18,Baden-Wuerttemberg,110.94,,,2020-02-18
2020-02-19,Baden-Wuerttemberg,113.62,,,2020-02-19
2020-02-20,Baden-Wuerttemberg,112.2,,,2020-02-20
2020-02-21,Baden-Wuerttemberg,137.06,,,2020-02-21
2020-02-22,Baden-Wuerttemberg,129.7,,,2020-02-22
2020-02-23,Baden-Wuerttemberg,103.09,,,2020-02-23
2020-02-24,Baden-Wuerttemberg,104.92,,,2020-02-24
2020-02-25,Baden-Wuerttemberg,104.36,,,2020-02-25
2020-02-26,Baden-Wuerttemberg,105.83,,,2020-02-26
2020-02-27,Baden-Wuerttemberg,112.11,,,2020-02-27
2020-02-28,Baden-Wuerttemberg,123.59,,,2020-02-28
2020-02-29,Baden-Wuerttemberg,123.83,,,2020-02-29
2020-03-01,Baden-Wuerttemberg,111.67,,,2020-03-01
2020-03-02,Baden-Wuerttemberg,102.64,,,2020-03-02
2020-03-03,Baden-Wuerttemberg,105.77,,,2020-03-03
2020-03-04,Baden-Wuerttemberg,105.2,,,2020-03-04
2020-03-05,Baden-Wuerttemberg,108.75,,,2020-03-05
2020-03-06,Baden-Wuerttemberg,119.53,,,2020-03-06
2020-03-07,Baden-Wuerttemberg,114.63,,,2020-03-07
2020-03-08,Baden-Wuerttemberg,109.06,,,2020-03-08
2020-03-09,Baden-Wuerttemberg,101.73,,,2020-03-09
2020-03-10,Baden-Wuerttemberg,100.67,,,2020-03-10
2020-03-11,Baden-Wuerttemberg,98.55,,,2020-03-11
2020-03-12,Baden-Wuerttemberg,89.67,,,2020-03-12
2020-03-13,Baden-Wuerttemberg,87.16,,,2020-03-13
2020-03-14,Baden-Wuerttemberg,76.33,,,2020-03-14
2020-03-15,Baden-Wuerttemberg,74.11,,,2020-03-15
2020-03-16,Baden-Wuerttemberg,68.28,,,2020-03-16
2020-03-17,Baden-Wuerttemberg,62.66,,,2020-03-17
2020-03-18,Baden-Wuerttemberg,57.83,,,2020-03-18
2020-03-19,Baden-Wuerttemberg,54.73,,,2020-03-19
2020-03-20,Baden-Wuerttemberg,50.54,,,2020-03-20
2020-03-21,Baden-Wuerttemberg,35.21,,,2020-03-21
2020-03-22,Baden-Wuerttemberg,37.72,,,2020-03-22
2020-03-23,Baden-Wuerttemberg,43.21,,,2020-03-23
2020-03-24,Baden-Wuerttemberg,43.39,,,2020-03-24
2020-03-25,Baden-Wuerttemberg,44.61,,,2020-03-25
2020-03-26,Baden-Wuerttemberg,45.25,,,2020-03-26
2020-03-27,Baden-Wuerttemberg,47.45,,,2020-03-27
2020-03-28,Baden-Wuerttemberg,45.83,,,2020-03-28
2020-03-29,Baden-Wuerttemberg,40.85,,,2020-03-29
2020-03-30,Baden-Wuerttemberg,48.97,,,2020-03-30
2020-03-31,Baden-Wuerttemberg,50.81,,,2020-03-31
2020-04-01,Baden-Wuerttemberg,51.56,,,2020-04-01
2020-04-02,Baden-Wuerttemberg,51.8,,,2020-04-02
2020-04-03,Baden-Wuerttemberg,51.31,,,2020-04-03
2020-04-04,Baden-Wuerttemberg,48.1,,,2020-04-04
2020-04-05,Baden-Wuerttemberg,55.2,,,2020-04-05
2020-04-06,Baden-Wuerttemberg,56.28,,,2020-04-06
2020-04-07,Baden-Wuerttemberg,58.62,,,2020-04-07
2020-04-08,Baden-Wuerttemberg,60.11,,,2020-04-08
2020-04-09,Baden-Wuerttemberg,58.26,,,2020-04-09
2020-04-10,Baden-Wuerttemberg,52.21,,,2020-04-10
2020-04-11,Baden-Wuerttemberg,51.87,,,2020-04-11
2020-04-12,Baden-Wuerttemberg,45.96,,,2020-04-12
2020-04-13,Baden-Wuerttemberg,56.37,,,2020-04-13
2020-04-14,Baden-Wuerttemberg,60.29,,,2020-04-14
2020-04-15,Baden-Wuerttemberg,61.26,,,2020-04-15
2020-04-16,Baden-Wuerttemberg,64.73,,,2020-04-16
2020-04-17,Baden-Wuerttemberg,63.72,,,2020-04-17
2020-04-18,Baden-Wuerttemberg,58.12,,,2020-04-18
2020-04-19,Baden-Wuerttemberg,64.79,,,2020-04-19
2020-04-20,Baden-Wuerttemberg,63.66,,,2020-04-20
2020-04-21,Baden-Wuerttemberg,65.45,,,2020-04-21
2020-04-22,Baden-Wuerttemberg,67.06,,,2020-04-22
2020-04-23,Baden-Wuerttemberg,66.86,,,2020-04-23
2020-04-24,Baden-Wuerttemberg,66.45,,,2020-04-24
2020-04-25,Baden-Wuerttemberg,62.51,,,2020-04-25
2020-04-26,Baden-Wuerttemberg,67.27,,,2020-04-26
2020-04-27,Baden-Wuerttemberg,65.65,,,2020-04-27
2020-04-28,Baden-Wuerttemberg,65.17,,,2020-04-28
2020-04-29,Baden-Wuerttemberg,67.67,,,2020-04-29
2020-04-30,Baden-Wuerttemberg,65.55,,,2020-04-30
2020-05-01,Baden-Wuerttemberg,60.81,,,2020-05-01
2020-05-02,Baden-Wuerttemberg,65.38,,,2020-05-02
